Drug_ID,Protein_ID
DB00292,6513
DB09130,1356
DB11134,1356
DB00136,2638
DB00153,2638
DB00169,2638
DB01436,2638
DB04224,2638
DB13949,3690
DB14520,3690
DB02153,2167
DB02776,2167
DB03009,2167
DB03766,2167
DB03796,2167
DB03851,2167
DB04224,2167
DB04437,2167
DB04474,2167
DB04557,2167
DB07283,2167
DB07945,2167
DB08607,2167
DB03193,2170
DB03796,2170
DB04224,2170
DB00132,2173
DB00154,2173
DB00159,2173
DB04224,2173
DB03796,2171
DB13949,811
DB14520,811
DB09130,475
DB00783,2169
DB01138,2169
DB03796,2169
DB04557,2169
DB08231,2169
DB13952,2169
DB13953,2169
DB13954,2169
DB13955,2169
DB13956,2169
DB09555,6582
DB09555,6580
DB02074,2168
DB02216,2168
DB02659,2168
DB04224,2168
DB06755,7436
DB09270,7436
DB11093,795
DB11348,795
DB14481,795
DB08231,55937
DB00507,6573
DB00278,5004
DB00289,5004
DB00332,5004
DB00404,5004
DB00409,5004
DB00421,5004
DB00476,5004
DB00497,5004
DB00512,5004
DB00598,5004
DB00608,5004
DB00808,5004
DB00813,5004
DB00857,5004
DB00907,5004
DB00938,5004
DB00950,5004
DB01029,5004
DB01045,5004
DB01072,5004
DB01115,5004
DB01195,5004
DB01203,5004
DB01591,5004
DB01611,5004
DB06216,5004
DB09053,5004
DB09262,5004
DB11641,5004
DB11689,5004
DB11703,5004
DB11757,5004
DB11828,5004
DB12001,5004
DB12466,5004
DB14840,5004
DB00278,5005
DB00289,5005
DB00332,5005
DB00404,5005
DB00409,5005
DB00421,5005
DB00476,5005
DB00497,5005
DB00512,5005
DB00598,5005
DB00608,5005
DB00808,5005
DB00813,5005
DB00857,5005
DB00907,5005
DB00938,5005
DB00950,5005
DB01029,5005
DB01045,5005
DB01072,5005
DB01115,5005
DB01195,5005
DB01203,5005
DB01591,5005
DB01611,5005
DB06216,5005
DB09053,5005
DB09262,5005
DB11641,5005
DB11689,5005
DB11703,5005
DB11757,5005
DB11828,5005
DB12001,5005
DB12466,5005
DB14840,5005
DB09479,481
DB09479,482
DB09479,483
DB09479,480
DB09479,477
DB09479,478
DB09130,9973
DB09130,10063
DB09130,9843
DB09130,4520
DB09130,645745
DB09130,4489
DB09130,4490
DB09130,4493
DB09130,4494
DB09130,4495
DB09130,4496
DB09130,4499
DB09130,4501
DB09130,4502
DB09130,4504
DB09130,84560
DB09130,9633
DB11093,793
DB11348,793
DB14481,793
DB00163,5360
DB05382,7038
DB00130,27165
DB00130,2162
DB00997,4843
DB09237,4843
DB00157,128
DB00898,128
DB01020,128
DB12612,128
DB00145,275
DB13749,25
DB00035,5742
DB00216,5742
DB00250,5742
DB00313,5742
DB00412,5742
DB00470,5742
DB00471,5742
DB00533,5742
DB00549,5742
DB00582,5742
DB00619,5742
DB00672,5742
DB00731,5742
DB00744,5742
DB00773,5742
DB00796,5742
DB00829,5742
DB00857,5742
DB01029,5742
DB01041,5742
DB01075,5742
DB01181,5742
DB01198,5742
DB01221,5742
DB01355,5742
DB05109,5742
DB06737,5742
DB06738,5742
DB06739,5742
DB09214,5742
DB09295,5742
DB13919,5742
DB00165,8566
DB12364,2147
DB01708,3283
DB09070,3283
DB00603,3284
